記事番号,URL,サマリー
0,https://bloomberg.co.jp/news/articles/2022-09-18/RIDO2OT0G1L001?srnd=cojp-v2,気象庁は18日、大型で非常に強い台風第14号が19日にかけて九州にかなり接近し、上陸するおそれがあると 発表した。台風14号の中心は午後１時半ごろに屋久島付近を 通過した。鹿児島県では過去に経験したことのないような暴風や高波、高潮となるおそれがあるとして暴風特別警報を発令し、気象庁は最大級の警戒を呼びかけている。政府は同日午後、台風14号について関係閣僚会議を開き、岸田文雄首相は「先手先手で対応にあたってほしい」と指示した。首相官邸に設置していた連絡室を対策室に格上げした。また、国民に対しては、最新の気象情報や避難情報に十分注意し、少しでも危険を感じたらちゅうちょせず避難するよう呼びかけた。ラ
1,https://bloomberg.co.jp/news/articles/2022-09-18/RIDKT2T1UM0Y01?srnd=cojp-v2,インフレで打撃を被った投資家にとって、今年の極めて悪い状況はさらに深刻になり始めているようだ。株価が下落し、債券はこの数十年で最も大きな損失に見舞われる中で、消費者物価の高騰は今年に入り、金融市場に利益をつかむ幾つかの避難先を提供していた。原油価格は大幅に上昇し、他の商品価格も同様の動きを見せた。住宅価格と賃貸料の上昇は不動産セクターを下支えした。だが、隠れ場所は急速に消滅しつつある。コアインフレ率の上昇により米連邦準備制度がこの数十年で最も積極的な利上げを継続すると見込まれるからだ。これは全ての資産にとって悪いニュースだ。米ペンシルベニア大学と香港大学による最新の 調査研究によると、株と債券
2,https://bloomberg.co.jp/news/articles/2022-09-16/RIB30TDWX2PS01?srnd=cojp-v2,９月の米ミシガン大学消費者マインド指数では、長期のインフレ期待がここ１年余りで最も低い水準となった。インフレ期待の安定を目指す米金融当局にとって前向きな兆候が示された。キーポイント ミシガン大消費者マインド指数（速報値）は59.5に上昇－４月以来の高水準 前月の確定値は58.2 予想中央値は60.0５－10年先のインフレ期待は2.8％－2021年７月以来の低水準 １年先のインフレ期待は4.6％に低下－21年９月以来の低さインフレ期待（上段：白が１年先、青が５－10年先）と消費者マインド指数（下段）の推移 出所：ミシガン大学消費者の間で供給不足についての言及が減り、ガソリン価格が低下している一方
3,https://bloomberg.co.jp/news/articles/2022-09-17/RIDKHHT0AFB901?srnd=cojp-v2,中部電力の広報担当者は、 東芝の再編案募集に関連して、「出資を決定したものではない」としつつ、情報を収集しており「デューデリジェンスに参加しているのは事実」と述べた。同社の広報担当者がブルームバーグの取材に対して回答した。東芝のロゴ Photographer: Soichiro Koriyama/Bloomberg日本経済新聞は18日、中部電力や オリックスなど複数の日本企業が東芝に出資する検討を始めたと、情報源を示さず 報じた。投資ファンドの日本産業パートナーズ（ＪＩＰ）が10社超の企業に参加を呼びかけているという。東芝は株式の非公開化を含めて再編案を公募している。日経新聞によると、ＪＩＰは
4,https://bloomberg.co.jp/news/articles/2022-09-16/RIBJQ8DWX2PS01?srnd=cojp-v2,16日の米株式相場は続落。Ｓ＆Ｐ500種株価指数は週間ベースでは６月中旬以来の大幅安となった。物流大手フェデックスが前日、景況悪化を理由に通期利益見通しを撤回。米金融当局による大幅利上げを巡る懸念を一段と強める格好となった。外国為替市場ではドルがやや軟化し、対円では143円を割り込んだ。フェデックスの警告は「平手打ち」、景況悪化で企業業績に懸念強まる米国株は続落、Ｓ＆Ｐ500種は週間ベースで約５％安米２年債利回り3.87％、10年債利回りは3.45％ドルは上げを消す、円上昇－英ポンドに売りＮＹ原油ほぼ変わらず－週間では下落、景気減速懸念でＮＹ金先物は小反発、ＦＯＭＣ控え神経質な取引Ｓ＆Ｐ500
5,https://bloomberg.co.jp/news/articles/2022-09-16/RIAPFZDWX2PS01?srnd=cojp-v2,足元の円安に歯止めをかけるために財務省は直接介入も辞さない構えを示すが、安定的な成長と物価上昇を目指す中で露呈する日本のちぐはぐな政策がさらなる円安をもたらす可能性がある。鈴木俊一財務相は14日夜、為替介入は「予告的にやるものではない」「やるときは間髪入れずに瞬時に行う」と円安をけん制した。一方、日本銀行は同日午前、円安圧力を強めることにつながる国債買い入れ増額を実施していた。日銀は長期金利を許容変動幅の上限とする0.25％内に抑えるため、14、15日の２日間だけで国債買い入れに約１兆4200億円を費やした。これは日本が1998年６月、最後に円買い介入を実施した際に投じた2310億円を大きく上
6,https://bloomberg.co.jp/news/articles/2022-09-16/RIAA8TDWLU6801?srnd=cojp-v2,来週の米連邦公開市場委員会（ＦＯＭＣ）後に公表される最新のドット・プロット（予測分布図）では、フェデラルファンド（ＦＦ）金利誘導目標の上限が12月までに４％に達し、2023年を通じて高止まりするというタカ派色のより強いスタンスが示されそうだ。ブルームバーグのエコノミスト調査では、20、21日のＦＯＭＣでＦＦ金利誘導目標が３会合連続で0.75ポイント引き上げられ、３－3.25％になるとの見通しが大勢を占めた。ＦＯＭＣ参加者による最新ドット・プロットは、誘導目標の上限が年末までに４％に到達後、来年さらに少し上げ、24年の一連の利下げで3.6％に戻る軌道を示唆すると見込まれる。８月の米消費者物価指数
7,https://bloomberg.co.jp/news/articles/2022-09-18/RIDVCMT0AFB601?srnd=cojp-v2,米ゴールドマン・サックス・グループは、米連邦準備制度の利上げ幅見通しを上方修正したことを受けて、2023年の米経済成長率見通しを下方修正した。ヤン・ハッチウス氏ら同社のエコノミストは16日のリポートで、23年の米国内総生産（ＧＤＰ）の成長率見通しを1.1％と、これまでの1.5％から引き下げた。今年の成長率は０％に据え置いた。ゴールドマン、９月と11月の米利上げ幅予想を上方修正ゴールドマンはまた、成長率見通しの引き下げを踏まえて米失業率の見通しを引き上げた。今年末までの失業率は約3.7％（従来予想3.6％）、23年末までは4.1％（同3.8％）、24年末までは4.2％（同４％）との予想を示した。
8,https://bloomberg.co.jp/news/articles/2022-09-17/RIC1E9T0AFBC01?srnd=cojp-v2,暗号資産（仮想通貨）イーサが16日の米国時間帯の取引で７週間ぶりの安値を付け、イーサ保有者に与えられたボーナストークンの価格も50％余り下げた。仮想通貨の投資家はリスク資産の 幅広い売りに再び目を向けた。エネルギー効率を高める大型アップグレード「マージ」への移行がここ数週間は投資家の焦点だった。 ブロックチェーン（分散型台帳）イーサリアムで使用されるイーサは５営業日続落し、一時6.5％安の約1407ドルを付けた。ギャラクシー・デジタルの調査アソシエート、 クリスティン・キム氏はツイッターで、「マクロ情勢悪化に伴うリスク資産全般の売りが背景にある可能性が高い」と指摘。また「マージは長期的にはプラ
9,https://bloomberg.co.jp/news/articles/2022-09-16/RIB9CGDWX2PU01?srnd=cojp-v2,サマーズ元米財務長官は16日、米金融当局が積極的な金融引き締めを手控えていることに異議を唱え、消極的な姿勢はより大きな経済的ダメージをもたらすと論じた。サマーズ氏はブルームバーグテレビジョンで、「インフレに対する政策調整が過度に遅れ、そのため極めて著しいコストが生じた多くの例が過去にある」と発言。「私の認識では、米金融当局がインフレに過剰なスピードで対応し、大きな代償を払った主な例は一切ない」と述べた。サマーズ氏は、高インフレを克服したことで知られるボルカー元米連邦準備制度理事会（ＦＲＢ）議長すらも「出だしは失敗のようなものだった」と強調した。「われわれは著しい基調インフレの問題を抱えている。
